Observations,Brand preferences,Total sales,Fuel types,trim,body,transmission
8/1/1983,Mahindra,12.962,Bio Diesel,LX,Sedan,automatic
9/1/1983,Xiaomi,12.969,Ethanol,C250 Sport,Sedan,automatic
9/1/1983,Tesla,12.969,Ethanol,LX,Sedan,automatic
9/1/1983,BYD,12.969,Ethanol,2.5,Sedan,automatic
9/1/1983,Xiaomi,12.969,Ethanol,Touring,Hatchback,automatic
9/1/1983,Tesla,12.972,Ethanol,M37,Sedan,automatic
9/1/1983,BYD,12.972,Gasoline,EX Hybrid,Sedan,automatic
9/1/1983,Nissan,12.972,Gasoline,Base,Convertible,automatic
9/1/1983,Mahindra,12.972,Gasoline,+,Wagon,automatic
9/1/1983,Suzuki,13.006,Ethanol,LX,SUV,automatic
9/1/1983,Xiaomi,13.006,Ethanol,LX,Sedan,automatic
9/1/1983,Hyundai,13.006,Ethanol,Base,Wagon,manual
9/1/1983,Nissan,13.025,Gasoline,LE,SUV,automatic
9/1/1983,Nissan,13.025,Gasoline,C250 Sport,Sedan,automatic
1/1/1984,Mahindra,13.025,Gasoline,SLK350,Convertible,automatic
1/1/1984,Suzuki,13.025,Ethanol,Base,Sedan,automatic
1/1/1984,Xiaomi,13.051,Ethanol,E350 Sport,Sedan,automatic
2/1/1984,Tesla,13.051,Ethanol,i SV,Sedan,automatic
2/1/1984,BYD,13.051,Diesel,Base,Hatchback,automatic
2/1/1984,Kia Corporation,13.051,Diesel,Base,Hatchback,automatic
2/1/1984,Toyota,13.081,Gasoline,S550,Sedan,
3/1/1984,Suzuki,13.081,Gasoline,Touring,SUV,automatic
3/1/1984,Tata motors,13.081,Gasoline,G37 Journey,G Sedan,automatic
3/1/1984,Mahindra,13.098,Bio Diesel,2.5 S,Coupe,automatic
3/1/1984,Toyota,13.098,Ethanol,LX,Sedan,automatic
4/1/1984,Suzuki,13.098,Bio Diesel,Touring,SUV,automatic
4/1/1984,Mahindra,13.098,Bio Diesel,SX,SUV,automatic
4/1/1984,Hyundai,13.107,Ethanol,2.5,Sedan,automatic
4/1/1984,Nissan,13.107,Gasoline,2.5,Sedan,automatic
5/1/1984,Nissan,13.107,Gasoline,2.5,Sedan,automatic
5/1/1984,Mahindra,13.107,Gasoline,Latitude,SUV,automatic
5/1/1984,Suzuki,13.112,Ethanol,Base,Coupe,automatic
5/1/1984,Xiaomi,13.112,Ethanol,2.5 S,Coupe,automatic
6/1/1984,Tesla,13.112,Ethanol,i Touring,Sedan,automatic
6/1/1984,BYD,13.112,Diesel,JX35,SUV,automatic
6/1/1984,Kia Corporation,13.125,Diesel,G37 Journey,G Sedan,automatic
6/1/1984,Toyota,13.125,Gasoline,Base,SUV,automatic
7/1/1984,Suzuki,13.125,Gasoline,G37x,G Sedan,automatic
7/1/1984,Tata motors,13.125,Gasoline,SX,Sedan,automatic
7/1/1984,Mahindra,13.134,Bio Diesel,2.5,Sedan,automatic
7/1/1984,Toyota,13.134,Ethanol,SX,Hatchback,manual
8/1/1984,Suzuki,13.134,Bio Diesel,2.5,Sedan,automatic
8/1/1984,Mahindra,13.134,Bio Diesel,Base,SUV,automatic
8/1/1984,Hyundai,13.166,Ethanol,2.5,Sedan,automatic
8/1/1984,Nissan,13.166,Gasoline,+,Wagon,manual
9/1/1984,Nissan,13.166,Gasoline,HSE LUX,SUV,automatic
9/1/1984,Mahindra,13.181,Gasoline,EX,Sedan,automatic
9/1/1984,Suzuki,13.181,Ethanol,Touring,Minivan,automatic
9/1/1984,Xiaomi,13.181,Ethanol,LX,Hatchback,automatic
1/1/1985,Tesla,13.218,Gasoline,2.5,Sedan,automatic
1/1/1985,BYD,13.218,Gasoline,G37x,G Sedan,automatic
1/1/1985,Kia Corporation,13.218,Ethanol,i Sport,Sedan,automatic
1/1/1985,BYD,13.218,Ethanol,G37x,G Coupe,automatic
1/1/1985,Tesla,13.223,Bio Diesel,M37,Sedan,automatic
1/1/1985,BYD,13.223,Bio Diesel,EX,Sedan,automatic
1/1/1985,Kia Corporation,13.223,Ethanol,Touring,SUV,automatic
1/1/1985,Toyota,13.223,Gasoline,2.5 S,Coupe,automatic
2/1/1985,Tesla,13.259,Ethanol,EX Hybrid,Sedan,automatic
2/1/1985,Mahindra,13.259,Diesel,Base,Hatchback,automatic
2/1/1985,Suzuki,13.259,Diesel,Sport,Minivan,automatic
2/1/1985,Tesla,13.276,Gasoline,Base,Sedan,automatic
2/1/1985,Suzuki,13.276,Gasoline,LX,Sedan,automatic
2/1/1985,Tata motors,13.276,Gasoline,Pure Plus,SUV,automatic
2/1/1985,Mahindra,13.276,Ethanol,Base,Hatchback,automatic
2/1/1985,Toyota,13.286,Ethanol,2.5,Sedan,automatic
3/1/1985,Nissan,13.286,Gasoline,G37 Journey,G Sedan,automatic
3/1/1985,Mahindra,13.286,Gasoline,LX,Sedan,manual
3/1/1985,Suzuki,13.311,Bio Diesel,LX,Sedan,automatic
3/1/1985,Xiaomi,13.311,Ethanol,Latitude,SUV,automatic
3/1/1985,Suzuki,13.311,Ethanol,SE,SUV,automatic
3/1/1985,Mahindra,13.311,Diesel,G37 Journey,G Sedan,manual
3/1/1985,Hyundai,13.326,Diesel,C250,Coupe,automatic
3/1/1985,Nissan,13.326,Gasoline,G37x,G Coupe,automatic
4/1/1985,Nissan,13.326,Gasoline,L,Sedan,automatic
4/1/1985,Mahindra,13.326,Gasoline,S550,Sedan,automatic
4/1/1985,Suzuki,13.326,Bio Diesel,EX Hybrid,Sedan,automatic
4/1/1985,Xiaomi,13.326,Ethanol,SE,SUV,automatic
5/1/1985,Tesla,13.326,Bio Diesel,GLK350,SUV,automatic
5/1/1985,BYD,13.332,Bio Diesel,2.5,Sedan,automatic
5/1/1985,Kia Corporation,13.332,Ethanol,Unlimited Sport,SUV,automatic
5/1/1985,Toyota,13.332,Gasoline,LX,SUV,automatic
6/1/1985,Suzuki,13.332,Gasoline,2.5,Sedan,automatic
6/1/1985,Tata motors,13.34,Gasoline,LX,Sedan,automatic
6/1/1985,Mahindra,13.34,Ethanol,Limited,SUV,automatic
6/1/1985,Toyota,13.34,Ethanol,C250,Coupe,automatic
7/1/1985,Suzuki,13.34,Ethanol,EX Hybrid,Sedan,automatic
7/1/1985,Mahindra,13.356,Diesel,LX,Sedan,automatic
7/1/1985,Hyundai,13.356,Diesel,EX Hybrid,Sedan,automatic
7/1/1985,Nissan,13.356,Gasoline,LX,Sedan,automatic
8/1/1985,Nissan,13.37,Gasoline,LX,Sedan,
8/1/1985,Mahindra,13.37,Gasoline,G37x,G Sedan,automatic
8/1/1985,Suzuki,13.37,Bio Diesel,G37 Journey,G Sedan,automatic
8/1/1985,Xiaomi,13.37,Ethanol,E350 Sport BlueTEC,Sedan,automatic
9/1/1985,Tesla,13.378,Bio Diesel,S550,Sedan,automatic
9/1/1985,BYD,13.378,Bio Diesel,Base,SUV,automatic
9/1/1985,Kia Corporation,13.378,Ethanol,Pure,SUV,automatic
9/1/1985,BYD,13.378,Gasoline,Sport,Minivan,automatic
1/1/1986,Suzuki,13.378,Bio Diesel,awd v6,,automatic
1/1/1986,Tata motors,13.378,Bio Diesel,G37 Journey,G Sedan,manual
1/1/1986,Mahindra,13.378,Ethanol,Base,Sedan,automatic
1/1/1986,Toyota,13.378,Gasoline,Base,Sedan,automatic
2/1/1986,Suzuki,13.457,Gasoline,C250 Sport,Sedan,automatic
2/1/1986,Mahindra,13.457,Gasoline,+,Wagon,automatic
2/1/1986,Hyundai,13.457,Ethanol,LX,Sedan,automatic
2/1/1986,Nissan,13.457,Ethanol,2.5,Sedan,automatic
3/1/1986,Nissan,13.466,Ethanol,2.5,Sedan,automatic
3/1/1986,Mahindra,13.466,Diesel,C250,Coupe,automatic
3/1/1986,Suzuki,13.466,Diesel,EX Hybrid,Sedan,automatic
3/1/1986,Xiaomi,13.466,Gasoline,GL450 4MATIC,SUV,automatic
4/1/1986,Tesla,13.47,Gasoline,Sport,Minivan,automatic
4/1/1986,BYD,13.47,Gasoline,LX,SUV,automatic
4/1/1986,Kia Corporation,13.47,Bio Diesel,GL450 4MATIC,SUV,automatic
4/1/1986,Toyota,13.484,Ethanol,Base,Sedan,automatic
5/1/1986,Suzuki,13.484,Bio Diesel,EX,Hatchback,automatic
5/1/1986,Tata motors,13.484,Bio Diesel,ML350,SUV,automatic
5/1/1986,Mahindra,13.496,Ethanol,Base,Wagon,automatic
5/1/1986,Toyota,13.496,Gasoline,G37x,G Sedan,automatic
6/1/1986,Suzuki,13.496,Gasoline,EX,SUV,automatic
6/1/1986,Mahindra,13.496,Gasoline,S550,Sedan,automatic
6/1/1986,Hyundai,13.543,Ethanol,2.5 S,Coupe,automatic
6/1/1986,Nissan,13.543,Ethanol,LX,SUV,automatic
7/1/1986,Nissan,13.543,Gasoline,2.5 S,Coupe,automatic
7/1/1986,Mahindra,13.543,Gasoline,ML350,SUV,
7/1/1986,Suzuki,13.55,Ethanol,Pure Plus,SUV,automatic
7/1/1986,Xiaomi,13.55,Ethanol,LX,Sedan,automatic
8/1/1986,Tesla,13.55,Ethanol,LX,Sedan,automatic
8/1/1986,BYD,13.55,Diesel,S550,Sedan,automatic
8/1/1986,Kia Corporation,13.581,Diesel,2.5,Sedan,automatic
8/1/1986,BYD,13.581,Gasoline,Unlimited Sport,SUV,automatic
9/1/1986,Tesla,13.581,Gasoline,Pure Premium,SUV,automatic
9/1/1986,Mahindra,13.581,Gasoline,Touring,SUV,automatic
9/1/1986,Suzuki,13.584,Bio Diesel,Touring,Hatchback,automatic
9/1/1986,Tesla,13.584,Ethanol,S550,Sedan,automatic
1/1/1987,Xiaomi,13.584,Gasoline,2.5,Sedan,automatic
1/1/1987,Tesla,13.584,Gasoline,G37x,G Sedan,automatic
1/1/1987,BYD,13.61,Bio Diesel,G37x,G Sedan,automatic
1/1/1987,Kia Corporation,13.61,Ethanol,M37,Sedan,automatic
2/1/1987,Toyota,13.61,Bio Diesel,C250,Coupe,automatic
2/1/1987,Suzuki,13.61,Bio Diesel,i Sport,Sedan,automatic
2/1/1987,Tata motors,13.655,Ethanol,G37 Journey,G Sedan,automatic
2/1/1987,Mahindra,13.655,Gasoline,SX,Sedan,automatic
3/1/1987,Toyota,13.655,Gasoline,C250,Coupe,automatic
3/1/1987,Suzuki,13.655,Gasoline,Base,SUV,automatic
3/1/1987,Mahindra,13.669,Ethanol,2.5,Sedan,automatic
3/1/1987,Hyundai,13.669,Ethanol,C250 Sport,Sedan,automatic
4/1/1987,Nissan,13.669,Ethanol,Touring,Minivan,automatic
4/1/1987,Nissan,13.704,Diesel,Ralliart,Sedan,automatic
4/1/1987,Mahindra,13.704,Diesel,G37 Sport,G Coupe,manual
4/1/1987,Suzuki,13.704,Gasoline,Base,Hatchback,automatic
5/1/1987,Xiaomi,13.704,Gasoline,S550,Sedan,automatic
5/1/1987,Tesla,13.73,Gasoline,Sport,Minivan,automatic
5/1/1987,BYD,13.73,Bio Diesel,C250 Sport,Sedan,automatic
5/1/1987,Kia Corporation,13.73,Ethanol,SX,Sedan,automatic
6/1/1987,Toyota,13.743,Bio Diesel,2.5,Sedan,automatic
6/1/1987,Suzuki,13.743,Bio Diesel,M37,Sedan,automatic
6/1/1987,Tata motors,13.743,Ethanol,2.5,Sedan,automatic
6/1/1987,Mahindra,13.749,Gasoline,C63 AMG,Coupe,automatic
7/1/1987,Toyota,13.749,Gasoline,EX,Sedan,automatic
7/1/1987,Suzuki,13.749,Gasoline,LX,Sedan,automatic
7/1/1987,Mahindra,13.749,Ethanol,G37x,G Sedan,automatic
7/1/1987,Hyundai,13.765,Ethanol,SX,Sedan,automatic
8/1/1987,Nissan,13.765,Ethanol,Supercharged Limited Edition,SUV,automatic
8/1/1987,Nissan,13.765,Diesel,Base,Sedan,automatic
8/1/1987,Mahindra,13.784,Diesel,E350 Sport,Sedan,automatic
8/1/1987,Suzuki,13.784,Gasoline,E350,Coupe,automatic
9/1/1987,Xiaomi,13.784,Gasoline,Base,Sedan,automatic
9/1/1987,Tesla,13.784,Gasoline,M37,Sedan,automatic
9/1/1987,BYD,13.798,Bio Diesel,SX,Sedan,automatic
9/1/1987,Kia Corporation,13.798,Ethanol,SE,SUV,automatic
1/1/1988,Xiaomi,13.798,Gasoline,ES,Sedan,automatic
1/1/1988,Tesla,13.859,Gasoline,G37x,G Sedan,automatic
1/1/1988,BYD,13.859,Bio Diesel,E350 Sport,Sedan,automatic
1/1/1988,Kia Corporation,13.859,Ethanol,G37 Journey,G Sedan,automatic
2/1/1988,Toyota,13.859,Bio Diesel,Base,Sedan,automatic
2/1/1988,Suzuki,13.867,Bio Diesel,C63 AMG,Sedan,automatic
2/1/1988,Tata motors,13.867,Ethanol,Base,Hatchback,automatic
2/1/1988,Mahindra,13.867,Gasoline,SE PZEV,Sedan,automatic
3/1/1988,Toyota,13.935,Gasoline,2.5,Sedan,automatic
3/1/1988,Suzuki,13.935,Gasoline,LE,Sedan,automatic
3/1/1988,Mahindra,13.935,Ethanol,3.2,SUV,automatic
3/1/1988,Hyundai,13.959,Ethanol,LE 7-Passenger Mobility Auto Access,Minivan,automatic
4/1/1988,Nissan,13.959,Gasoline,S,Hatchback,automatic
4/1/1988,Nissan,13.959,Gasoline,L,Hatchback,automatic
4/1/1988,Mahindra,13.959,Ethanol,SR,Sedan,
4/1/1988,Suzuki,13.99,Ethanol,S,SUV,automatic
5/1/1988,Xiaomi,13.99,Ethanol,1500 S,Van,automatic
5/1/1988,Tesla,13.99,Diesel,S,Sedan,automatic
5/1/1988,BYD,13.99,Diesel,LE,Sedan,automatic
5/1/1988,Kia Corporation,14.022,Gasoline,R-Line PZEV,Sedan,automatic
6/1/1988,BYD,14.022,Gasoline,SL,Hatchback,automatic
6/1/1988,Tesla,14.022,Gasoline,3.2,SUV,automatic
6/1/1988,Mahindra,14.022,Bio Diesel,LE,Sedan,automatic
6/1/1988,Suzuki,14.064,Ethanol,XLE,Sedan,automatic
7/1/1988,Tesla,14.064,Bio Diesel,PreRunner,Double Cab,automatic
7/1/1988,Toyot+B2:B85a,14.064,Bio Diesel,S,Sedan,automatic
7/1/1988,Suzuki,14.081,Ethanol,SE PZEV,Sedan,automatic
7/1/1988,Tata motors,14.081,Gasoline,Base,Sedan,manual
8/1/1988,Mahindra,14.081,Gasoline,3.5 SL,Sedan,automatic
8/1/1988,Toyota,14.081,Gasoline,Base,SUV,automatic
8/1/1988,Suzuki,14.112,Ethanol,1.6 S Plus,Sedan,
8/1/1988,Mahindra,14.112,Ethanol,Base,Sedan,manual
9/1/1988,Hyundai,14.112,Ethanol,LE,Sedan,automatic
9/1/1988,Nissan,14.112,Diesel,2.5L PZEV,Hatchback,automatic
9/1/1988,Nissan,14.119,Diesel,S,SUV,
9/1/1988,Mahindra,14.119,Gasoline,XLE,Sedan,automatic
1/1/1989,Hyundai,14.119,Ethanol,Base,Coupe,automatic
1/1/1989,Nissan,14.136,Diesel,S,Minivan,automatic
1/1/1989,Nissan,14.136,Diesel,2.5,Sedan,automatic
1/1/1989,Mahindra,14.136,Gasoline,LE,SUV,automatic
2/1/1989,Suzuki,14.149,Gasoline,Wolfsburg Edition PZEV,Sedan,automatic
2/1/1989,Xiaomi,14.149,Gasoline,S,SUV,automatic
2/1/1989,Tesla,14.149,Bio Diesel,SL,Minivan,
2/1/1989,BYD,14.149,Ethanol,2.5L PZEV,Hatchback,automatic
3/1/1989,Kia Corporation,14.161,Bio Diesel,TDI,Sedan,automatic
3/1/1989,Toyota,14.161,Bio Diesel,Tundra,CrewMax Cab,automatic
3/1/1989,Suzuki,14.161,Ethanol,2.5,Sedan,automatic
3/1/1989,Tata motors,14.161,Gasoline,Base,SUV,automatic
4/1/1989,Mahindra,14.168,Gasoline,S,SUV,
4/1/1989,Toyota,14.168,Gasoline,Base,Hatchback,manual
4/1/1989,Suzuki,14.168,Ethanol,2.5,Sedan,automatic
4/1/1989,Mahindra,14.185,Ethanol,3.5 SV,Sedan,automatic
5/1/1989,Tesla,14.185,Gasoline,Base,SUV,automatic
5/1/1989,Toyot+B2:B85a,14.185,Bio Diesel,S,Sedan,
5/1/1989,Toyota,14.185,Bio Diesel,Carrera S,Convertible,automatic
5/1/1989,Suzuki,14.21,Gasoline,SE PZEV,Sedan,automatic
5/1/1989,Hyundai,14.21,Ethanol,SE PZEV,Sedan,automatic
5/1/1989,Nissan,14.21,Diesel,2.5,Sedan,automatic
5/1/1989,Nissan,14.21,Diesel,S,SUV,automatic
5/1/1989,Mahindra,14.21,Gasoline,1.6 S Plus,Sedan,automatic
5/1/1989,Suzuki,14.21,Gasoline,S,SUV,automatic
6/1/1989,Mahindra,14.21,Gasoline,SR,Sedan,automatic
6/1/1989,Suzuki,14.21,Ethanol,Tundra,CrewMax Cab,automatic
6/1/1989,Tesla,14.253,Ethanol,SE PZEV,Sedan,automatic
6/1/1989,Nissan,14.253,Ethanol,S,Sedan,
6/1/1989,Suzuki,14.253,Bio Diesel,S,SUV,automatic
6/1/1989,Tata motors,14.258,Ethanol,Two,Hatchback,automatic
6/1/1989,Mahindra,14.258,Gasoline,1.6 S Plus,Sedan,automatic
6/1/1989,Toyota,14.258,Gasoline,3.2,Sedan,automatic
6/1/1989,Suzuki,14.258,Bio Diesel,SV,Crew Cab,automatic
6/1/1989,Tata motors,14.279,Ethanol,SR,Sedan,automatic
6/1/1989,Mahindra,14.279,Gasoline,2.5,Sedan,automatic
6/1/1989,Toyota,14.279,Gasoline,S,Convertible,automatic
6/1/1989,Xiaomi,14.279,Gasoline,SR,Sedan,automatic
6/1/1989,Tesla,14.281,Bio Diesel,SE PZEV,Sedan,automatic
6/1/1989,BYD,14.281,Ethanol,XLE,Sedan,automatic
6/1/1989,Kia Corporation,14.281,Bio Diesel,SV,Sedan,automatic
6/1/1989,Suzuki,14.281,Gasoline,SV,Crew Cab,
6/1/1989,Xiaomi,14.292,Gasoline,LE,Sedan,automatic
6/1/1989,Tesla,14.292,Bio Diesel,Base,Wagon,automatic
6/1/1989,BYD,14.292,Ethanol,Base,SUV,automatic
6/1/1989,Xiaomi,14.292,Gasoline,1.6 S Plus,Sedan,
6/1/1989,Tesla,14.298,Bio Diesel,1.6 S Plus,Sedan,
6/1/1989,BYD,14.298,Ethanol,1.8 SL,Wagon,automatic
6/1/1989,Kia Corporation,14.298,Bio Diesel,Base,Access Cab,automatic
7/1/1989,Mahindra,14.298,Diesel,Base,Coupe,automatic
7/1/1989,Suzuki,14.344,Diesel,S PZEV,Wagon,automatic
7/1/1989,Xiaomi,14.344,Gasoline,LE,Sedan,automatic
7/1/1989,Tesla,14.344,Gasoline,FE+ S,Sedan,automatic
7/1/1989,Suzuki,14.344,Gasoline,SV,SUV,automatic
7/1/1989,Mahindra,14.357,Ethanol,2.5L PZEV,Hatchback,automatic
7/1/1989,Hyundai,14.357,Ethanol,Limited,SUV,automatic
7/1/1989,Nissan,14.357,Ethanol,SR5,SUV,automatic
7/1/1989,Suzuki,14.357,Gasoline,1.6 S Plus,Sedan,automatic
7/1/1989,Mahindra,14.363,Ethanol,3.5 S,Sedan,automatic
7/1/1989,Hyundai,14.363,Ethanol,T5,Sedan,automatic
7/1/1989,Nissan,14.363,Ethanol,Two,Hatchback,automatic
7/1/1989,Toyota,14.363,Bio Diesel,2.5i Premium PZEV,Sedan,automatic
7/1/1989,Suzuki,14.363,Ethanol,S,Hatchback,automatic
7/1/1989,Tata motors,14.363,Gasoline,1.6 S Plus,Sedan,
7/1/1989,Mahindra,14.363,Gasoline,SL,Minivan,automatic
7/1/1989,Kia Corporation,14.363,Bio Diesel,SE PZEV,Sedan,automatic
7/1/1989,Toyota,14.374,Bio Diesel,SV,SUV,automatic
7/1/1989,Suzuki,14.374,Ethanol,SV,SUV,
7/1/1989,Tata motors,14.374,Gasoline,LE,Wagon,automatic
7/1/1989,Toyota,14.374,Bio Diesel,SE PZEV,Sedan,automatic
7/1/1989,Suzuki,14.377,Ethanol,S,SUV,
7/1/1989,Tata motors,14.377,Gasoline,SV,Sedan,automatic
7/1/1989,Mahindra,14.377,Gasoline,2.5,Sedan,
8/1/1989,BYD,14.378,Gasoline,SE PZEV,Sedan,
8/1/1989,Kia Corporation,14.378,Bio Diesel,1.8 SL,Wagon,automatic
8/1/1989,Toyota,14.378,Ethanol,PreRunner V6,Double Cab,automatic
8/1/1989,Nissan,14.378,Diesel,SV,SUV,
8/1/1989,Mahindra,14.38,Diesel,S Hybrid,SUV,automatic
8/1/1989,Suzuki,14.38,Gasoline,2.5L PZEV,Hatchback,automatic
8/1/1989,Nissan,14.38,Diesel,SV,Sedan,automatic
8/1/1989,Mahindra,14.381,Diesel,SV,SUV,automatic
8/1/1989,Suzuki,14.381,Gasoline,SV,Sedan,automatic
8/1/1989,Toyota,14.381,Gasoline,LE,Sedan,automatic
8/1/1989,Suzuki,14.381,Ethanol,SV,SUV,automatic
8/1/1989,Mahindra,14.384,Ethanol,SV,Sedan,automatic
8/1/1989,Mahindra,14.384,Gasoline,S,Sedan,
8/1/1989,Toyota,14.384,Gasoline,L,Hatchback,automatic
8/1/1989,Suzuki,14.384,Ethanol,SV,SUV,automatic
8/1/1989,Mahindra,14.395,Ethanol,SV,Sedan,automatic
8/1/1989,Toyota,14.395,Gasoline,Base,Sedan,automatic
8/1/1989,Suzuki,14.395,Ethanol,2.5L PZEV,Hatchback,automatic
8/1/1989,Mahindra,14.396,Ethanol,2.5,Sedan,automatic
9/1/1989,Hyundai,14.396,Ethanol,SE PZEV,Sedan,automatic
9/1/1989,Nissan,14.396,Diesel,2.5,Sedan,
9/1/1989,Nissan,14.396,Diesel,S Special Edition,Sedan,automatic
9/1/1989,Mahindra,14.439,Gasoline,S,King Cab,automatic
1/1/1990,Hyundai,14.439,Gasoline,2.5X PZEV,SUV,automatic
1/1/1990,Nissan,14.439,Gasoline,2.5L PZEV,Hatchback,automatic
1/1/1990,Nissan,14.439,Ethanol,S,Sedan,automatic
1/1/1990,Mahindra,14.444,Ethanol,LE,Wagon,automatic
2/1/1990,Suzuki,14.444,Ethanol,S,Sedan,
2/1/1990,Xiaomi,14.444,Diesel,R-Line PZEV,Sedan,automatic
2/1/1990,Tesla,14.451,Diesel,Two,Hatchback,automatic
2/1/1990,BYD,14.451,Gasoline,LE,Wagon,automatic
3/1/1990,Kia Corporation,14.451,Gasoline,Limited,SUV,automatic
3/1/1990,BYD,14.451,Gasoline,3.5 SL,Sedan,automatic
3/1/1990,Tesla,14.467,Bio Diesel,1.6 S Plus,Sedan,automatic
3/1/1990,Mahindra,14.467,Ethanol,Limited,Sedan,automatic
4/1/1990,Suzuki,14.467,Bio Diesel,3.5 SL,Sedan,automatic
4/1/1990,Tesla,14.486,Bio Diesel,Wolfsburg Edition PZEV,Sedan,automatic
4/1/1990,Nissan,14.486,Ethanol,SE PZEV,Sedan,automatic
4/1/1990,Mahindra,14.486,Gasoline,2.0i Sport Limited PZEV,Hatchback,automatic
5/1/1990,Suzuki,14.486,Gasoline,1.6 S Plus,Sedan,
5/1/1990,Xiaomi,14.49,Gasoline,3.5 SL,Sedan,automatic
5/1/1990,Tesla,14.49,Ethanol,SE PZEV,Sedan,automatic
5/1/1990,BYD,14.49,Ethanol,SE,Sedan,automatic
6/1/1990,Kia Corporation,14.49,Ethanol,V6,Double Cab,automatic
6/1/1990,Toyota,14.496,Diesel,S,SUV,automatic
6/1/1990,Suzuki,14.496,Diesel,STI,Sedan,manual
6/1/1990,Tata motors,14.496,Gasoline,1.8 SL,Wagon,automatic
6/1/1990,Kia Corporation,14.503,Ethanol,LE 7-Passenger Mobility Auto Access,Minivan,automatic
7/1/1990,Mahindra,14.503,Gasoline,3.5 S,Sedan,automatic
7/1/1990,Toyota,14.503,Gasoline,SE,Sedan,automatic
7/1/1990,Suzuki,14.503,Bio Diesel,LE,Sedan,automatic
7/1/1990,Mahindra,14.519,Ethanol,1.6 S Plus,Sedan,manual
7/1/1990,Toyota,14.519,Diesel,1.6 S Plus,Sedan,automatic
7/1/1990,Suzuki,14.519,Diesel,Base,Sedan,automatic
7/1/1990,Tata motors,14.519,Gasoline,SV,Sedan,automatic
7/1/1990,Mahindra,14.524,Gasoline,SE,Sedan,automatic
8/1/1990,Hyundai,14.524,Bio Diesel,Base,Coupe,manual
8/1/1990,Nissan,14.524,Bio Diesel,FE+ SV,Sedan,automatic
8/1/1990,Nissan,14.524,Ethanol,2.5,Sedan,automatic
8/1/1990,Mahindra,14.527,Gasoline,TDI SE,Sedan,automatic
8/1/1990,Toyota,14.527,Gasoline,SV,Sedan,automatic
8/1/1990,Suzuki,14.527,Bio Diesel,SV,SUV,automatic
8/1/1990,Mahindra,14.527,Ethanol,SV,Sedan,automatic
8/1/1990,Hyundai,14.527,Bio Diesel,SV,SUV,automatic
9/1/1990,Suzuki,14.527,Gasoline,Base,Convertible,automatic
9/1/1990,Xiaomi,14.527,Gasoline,LE,Sedan,automatic
9/1/1990,Tesla,14.527,Ethanol,LE,Sedan,automatic
9/1/1990,BYD,14.543,Ethanol,LE,Hatchback,automatic
9/1/1990,Nissan,14.543,Bio Diesel,1.6 S Plus,Sedan,
9/1/1990,Nissan,14.543,Ethanol,LE,Sedan,automatic
9/1/1990,Mahindra,14.543,Gasoline,LE,Sedan,automatic
1/1/1991,Suzuki,14.572,Gasoline,SV,Sedan,automatic
1/1/1991,Xiaomi,14.572,Gasoline,V6,Double Cab,automatic
1/1/1991,Tesla,14.572,Ethanol,Base,SUV,automatic
1/1/1991,BYD,14.572,Ethanol,1.6 S Plus,Sedan,automatic
2/1/1991,Kia Corporation,14.577,Ethanol,S,Sedan,automatic
2/1/1991,BYD,14.577,Diesel,Two,Hatchback,automatic
2/1/1991,Tesla,14.577,Diesel,1.6 S Plus,Sedan,
2/1/1991,Mahindra,14.577,Gasoline,PreRunner V6,Double Cab,automatic
3/1/1991,Suzuki,14.594,Gasoline,LE 7-Passenger Mobility Auto Access,Minivan,automatic
3/1/1991,Tesla,14.594,Gasoline,2.5L PZEV,Hatchback,automatic
3/1/1991,Nissan,14.594,Bio Diesel,L,Sedan,automatic
3/1/1991,Mahindra,14.602,Ethanol,FE+ SV,Sedan,automatic
4/1/1991,Suzuki,14.602,Bio Diesel,S,SUV,automatic
4/1/1991,Xiaomi,14.602,Bio Diesel,T5,Sedan,automatic
4/1/1991,Tesla,14.602,Ethanol,1.6 S Plus,Sedan,automatic
4/1/1991,BYD,14.605,Gasoline,S,SUV,automatic
5/1/1991,Kia Corporation,14.605,Gasoline,SV,SUV,automatic
5/1/1991,Toyota,14.605,Gasoline,SE PZEV,Sedan,automatic
5/1/1991,Suzuki,14.622,Ethanol,SL,SUV,automatic
5/1/1991,Tata motors,14.622,Ethanol,SV,Minivan,
6/1/1991,Mahindra,14.622,Ethanol,L,Sedan,automatic
6/1/1991,Toyota,14.622,Diesel,3.5 SV,Sedan,automatic
6/1/1991,Suzuki,14.641,Diesel,,,automatic
6/1/1991,Mahindra,14.641,Gasoline,xdr 750i xdriv,,automatic
7/1/1991,Hyundai,14.641,Gasoline,650i,Convertible,automatic
7/1/1991,Nissan,14.641,Gasoline,Base,Sedan,automatic
7/1/1991,Nissan,14.641,Bio Diesel,650i,Convertible,
7/1/1991,Mahindra,14.641,Ethanol,,,automatic
8/1/1991,Suzuki,14.641,Bio Diesel,3.0T Premium quattro,Sedan,automatic
8/1/1991,Xiaomi,14.641,Bio Diesel,650i,Coupe,automatic
8/1/1991,Tesla,14.642,Ethanol,528i,Sedan,automatic
8/1/1991,BYD,14.642,Gasoline,650i,Convertible,automatic
9/1/1991,Kia Corporation,14.642,Gasoline,528i,Sedan,automatic
9/1/1991,Toyota,14.642,Gasoline,650i,Coupe,automatic
9/1/1991,Suzuki,14.65,Ethanol,740i,Sedan,automatic
